Date,CompanyName,Open,High,Low,Close,Volume
20160308,cvc,32.860,33.320,32.860,33.260,1950663.000
20160308,cvg,26.202,26.401,26.032,26.052,343841.511
20160308,cvs,98.000,99.750,97.935,99.050,3595158.000
20160308,cvx,90.380,91.080,88.320,88.750,9164429.000
20160308,cxo,99.570,100.200,94.610,95.520,1683014.000
20160308,d,71.090,71.780,70.710,71.710,2540479.000
20160308,dal,46.710,47.100,46.010,46.210,12972241.000
20160308,dd,64.080,64.360,62.680,63.520,4428732.000
20160308,ddr,17.210,17.210,17.020,17.050,1219142.000
20160308,dds,86.690,88.420,85.780,86.020,508151.000
20160308,de,84.870,85.130,82.750,83.860,2981984.000
20160308,df,19.271,19.509,19.241,19.281,1760798.842
20160308,dfs,48.180,48.770,48.055,48.240,3078544.000
20160308,dg,73.941,75.356,73.851,74.030,1889839.264
20160308,dgx,69.190,69.230,68.310,68.440,808315.000
20160308,dhi,28.060,28.220,27.400,27.680,3957333.000
20160308,dhr,89.708,89.893,88.640,88.790,2659539.163
20160308,dis,98.930,98.980,97.600,97.845,5527649.000
20160308,disca,27.840,27.890,27.100,27.180,3410270.000
20160308,dlph,69.850,69.930,68.370,68.940,1922283.000
20160308,dltr,76.410,76.945,75.240,75.970,2438083.000
20160308,dlx,59.440,59.800,58.960,59.060,228208.000
20160308,dnb,98.850,99.840,97.950,98.150,172676.000
20160308,dnr,3.480,3.530,2.175,2.220,27205782.000
20160308,do,23.000,23.070,21.290,21.630,3526451.000
20160308,dov,64.420,64.530,63.060,63.090,1748939.000
20160308,dow,49.390,49.640,48.450,48.870,6909627.000
20160308,dps,90.705,91.155,89.492,90.218,2060199.157
20160308,dri,64.790,65.230,64.460,64.570,999374.000
20160308,dte,85.517,86.885,85.031,86.548,1308848.323
20160308,duk,76.320,77.310,75.900,77.260,4271022.000
20160308,dv,21.190,21.340,20.845,21.130,862941.000
20160308,dva,70.650,71.040,69.620,69.750,1159624.000
20160308,dvn,23.655,23.655,21.211,21.241,15456366.830
20160308,dyn,11.580,11.620,10.860,11.050,3277687.000
20160308,ea,63.090,64.180,62.600,62.960,2922275.000
20160308,ebay,24.020,24.390,23.690,24.075,10460576.000
20160308,ecl,104.601,105.049,103.864,103.953,1197032.605
20160308,ed,71.640,72.950,71.350,72.900,1614712.000
20160308,efx,105.120,106.140,104.790,106.000,604974.000
20160308,eix,68.720,69.360,68.270,69.090,2547427.000
20160308,el,91.530,91.960,90.729,91.730,1628602.000
20160308,emc,26.520,26.520,26.190,26.370,7583837.000
20160308,emn,69.099,69.526,68.245,68.423,1097879.059
20160308,emr,51.440,51.520,50.640,50.740,3865039.000
20160308,endp,44.000,44.610,42.580,42.650,2729759.000
20160308,eog,74.650,74.840,70.470,70.600,5962644.000
20160308,eqix,295.840,303.720,295.000,298.740,757744.000
20160308,eqr,71.215,71.503,70.351,70.460,1843775.752
20160308,eqt,60.860,60.860,57.720,57.960,2111331.000
20160308,es,56.610,57.030,55.890,56.700,1491511.000
20160308,esrx,70.660,70.750,68.110,68.220,6399972.000
20160308,ess,223.170,225.410,221.560,221.930,336054.000
20160308,esv,12.260,12.290,10.500,10.850,15125520.000
20160308,etfc,25.060,25.260,24.350,24.350,5416242.000
20160308,etn,58.540,58.570,57.710,57.840,1979494.000
20160308,etr,74.040,74.670,73.340,74.570,964688.000
20160308,ew,86.940,87.120,85.020,85.130,2060296.000
20160308,exc,33.900,34.320,33.390,34.240,7656025.000
20160308,expd,46.910,47.570,46.540,47.210,1922618.000
20160308,expe,104.940,106.360,103.350,104.860,2182483.000
20160308,exr,82.802,84.093,82.435,82.872,1015135.210
20160308,f,13.510,13.575,13.150,13.250,29316809.000
20160308,fast,46.280,46.830,45.550,46.570,3223002.000
20160308,fb,104.860,107.370,104.390,105.930,24164431.000
20160308,fcx,9.370,9.420,8.560,8.650,56224982.000
20160308,fdx,143.746,144.615,142.139,142.279,1146143.399
20160308,fe,35.120,35.770,34.710,35.570,3269542.000
20160308,ffiv,100.510,100.830,99.250,99.770,472288.000
20160308,fhn,12.979,13.038,12.720,12.740,2065865.354
20160308,fii,28.200,28.280,27.680,27.720,542161.000
